ODI_Rank,Player,ODI_Matches,ODI_Innings,ODI_Average,ODI_Strike_Rate,ODI_Highest_Score,ODI_Fours,ODI_Sixes,ODI_Fifties,ODI_Hundreds,ODI_Runs
1,Mithali Raj,232,211,50.68,67.54,125,805,19,64,7,7805
2,Smriti Mandhana,120,120,47.88,90.36,136,653,74,35,14,5411
3,Harmanpreet Kaur,164,143,37.22,76.86,171,448,57,24,7,4541
4,Anjum Chopra,127,112,31.38,-,100,-,-,18,1,2856
5,Deepti Sharma,124,106,35.98,70.43,188,263,19,18,1,2771
6,Punam Raut,73,73,34.83,58.26,109,261,6,15,3,2299
7,Jaya Sharma,77,75,30.75,-,138,-,-,14,2,2091
8,Jemimah Rodrigues,62,59,34.15,90.31,127,198,5,8,3,1810
9,Anju Jain,65,65,29.81,-,90,-,-,12,-,1729
10,Jhulan Goswami,204,121,14.61,-,57,-,-,1,-,1228
11,Richa Ghosh,54,52,28.76,102.45,96,126,38,7,-,1208
12,Pratika Rawal,27,26,47.56,82.34,154,141,10,8,2,1189
13,Harleen Deol,38,35,32.24,76.49,115,112,7,4,1,1064
14,Hemlata Kala,78,59,20.87,-,65,-,-,3,-,1023
15,Karu Jain,44,40,29.02,51.37,103,114,-,9,1,987
16,Rumeli Dhar,78,60,19.61,60.89,92,83,8,6,-,961
17,Amita Sharma,116,73,16.83,68.59,51,95,7,1,-,926
18,Veda Krishnamurthy,48,41,25.9,76.9,71,90,6,8,-,829
19,Thirush Kamini,39,37,25.78,56.12,113,110,6,3,2,825
20,Shafali Verma,32,32,24.03,85.24,87,91,9,5,-,745
21,Yastika Bhatia,28,27,24.66,73.02,64,78,2,4,-,666
22,Chanderkanta Kaul,31,29,23.69,-,80,-,-,3,-,616
23,Pooja Vastrakar,33,28,25.43,87.05,67,51,11,4,-,585
24,Sulakshana Naik,46,41,15.51,-,79,-,-,2,-,574
25,Sandhya Agarwal,21,21,31.5,-,72,-,-,4,-,567
26,Purnima Rau,33,27,21.5,-,67,-,-,2,-,516
27,Shikha Pandey,55,34,20.48,90.14,59,66,4,2,-,512
28,Reema Malhotra,41,33,21.0,51.5,59,36,-,1,-,462
29,Sneh Rana,45,31,17.66,87.24,53,48,2,1,-,424
30,Anagha Deshpande,23,23,18.81,58.06,47,49,1,-,-,414
31,Gargi Banerji,26,26,15.73,-,61,-,-,2,-,409
32,Mamatha Maben,40,30,17.95,-,53,-,-,1,-,359
33,Mona Meshram,26,21,18.52,53.74,78,38,4,3,-,352
34,Shubhangi Kulkarni,27,26,13.34,-,44,-,-,-,-,347
35,Priyanka Roy,27,22,16.65,51.38,69,34,-,1,-,333
36,Sunetra Paranjpe,28,25,15.33,-,52,-,-,1,-,322
37,Arundhati Kirkire,30,23,19.0,-,106,-,-,1,1,304
38,Monica Sumra,14,12,27.63,51.35,63,31,-,3,-,304
39,Sudha Shah,13,12,24.41,-,53,-,-,1,-,293
40,Shanta Rangaswamy,19,19,15.1,-,50,-,-,1,-,287
41,Asha Rawat,20,9,40.85,72.95,97,27,3,3,-,286
42,Priya Punia,12,11,27.3,57.11,75,31,1,2,-,273
43,Anjali Pendharker,19,19,16.75,-,47,-,-,-,-,268
44,Shashi Gupta,20,19,20.23,-,50,-,-,1,-,263
45,Fowzieh Khalili,13,13,19.84,-,88,-,-,1,-,258
46,Amanjot Kaur,17,17,21.41,77.17,57,24,1,1,-,257
47,Smitha Harikrishna,22,17,17.76,53.47,34,17,-,-,-,231
48,Diana Edulji,34,30,8.79,-,25,-,-,-,-,211
49,Sushma Verma,43,24,9.65,57.78,41,15,2,-,-,193
50,Nilima Jogalekar,20,20,11.35,-,38,-,-,-,-,193
51,Devika Vaidya,12,9,25.57,67.29,89,21,-,1,-,179
52,Ekta Bisht,63,36,8.19,63.46,18,15,-,-,-,172
53,Arati Vaidya,6,6,27.0,45.63,77,14,-,1,-,162
54,Sangita Dabir,19,17,11.14,-,31,-,-,-,-,156
55,Nooshin Al Khadeer,78,27,8.05,48.88,21,16,-,-,-,153
56,Tejal Hasabnis,6,6,46.66,78.65,53,16,-,1,-,140
57,Taniya Bhatia,19,11,15.33,69.34,68,13,-,1,-,138
58,Rajeshwari Dholakia,13,13,12.54,-,35,-,-,-,-,138
59,Pramila S Bhatt,22,15,12.36,-,33,-,-,-,-,136
60,Reshma Gandhi,2,2,0.0,-,104,-,-,-,1,122
61,Rupanjali Shastri,12,9,16.42,-,29,-,-,-,-,115
62,Sabbhineni Meghana,3,3,38.0,108.57,61,17,2,1,-,114
63,Arunadhati Ghosh,11,11,15.42,-,45,-,-,-,-,108
64,Radha Yadav,14,8,17.5,86.77,48,10,-,-,-,105
65,Dayalan Hemalatha,12,8,12.12,58.08,35,7,3,-,-,97
66,Deepa Madhukar Marathe,59,26,7.38,-,21,-,-,-,-,96
67,Gouher Sultana,50,23,10.66,30.86,22,6,-,-,-,96
68,Poonam Yadav,58,21,7.91,41.66,15,9,-,-,-,95
69,Amrita Pratapsinh Shinde,5,5,23.25,55.35,78,13,-,1,-,93
70,Rajani Venugopal,9,8,13.14,-,54,-,-,1,-,92
71,Kashvee Gautam,6,5,22.5,92.78,43,8,3,-,-,90
72,Vellaswamy Vanitha,6,6,17.0,68,27,14,-,-,-,85
73,Rita Dey,6,5,16.8,-,33,-,-,-,-,84
74,Renu Margrate,23,15,7.09,63.41,21,8,-,-,-,78
75,Rekha Godbole,4,4,26.0,-,44,-,-,-,-,78
76,Neetu David,97,30,4.93,36.27,18,5,-,-,-,74
