Player,Test_Rank,Test_Matches,Test_Innings,Test_Average,Test_Strike_Rate,Test_Highest_Score,Test_Fours,Test_Sixes,Test_Fifties,Test_Hundreds,Test_Runs,ODI_Rank,ODI_Matches,ODI_Innings,ODI_Average,ODI_Strike_Rate,ODI_Highest_Score,ODI_Fours,ODI_Sixes,ODI_Fifties,ODI_Hundreds,ODI_Runs,T20I_Rank,T20I_Matches,T20I_Innings,T20I_Average,T20I_Strike_Rate,T20I_Highest_Score,T20I_Fours,T20I_Sixes,T20I_Fifties,T20I_Hundreds,T20I_Runs,Gender
Aakash Chopra,83.0,10.0,19.0,23.0,34.60,60,49,-,2,-,437.0,,,,,,,,,,,,,,,,,,,,,,,Male
Aashish Kapoor,127.0,4.0,6.0,19.4,53.59,42,8,2,-,-,97.0,160.0,17.0,6.0,7.16,68.25,19.0,2,1,-,-,43.0,,,,,,,,,,,,Male
Aavishkar Salvi,,,,,,,,,,,,218.0,4.0,3.0,2.0,28.57,4.0,-,-,-,-,4.0,,,,,,,,,,,,Male
Abey Kuruvilla,138.0,10.0,11.0,6.6,40.24,35,-,4,-,-,66.0,176.0,25.0,11.0,3.71,60.46,7.0,1,1,-,-,26.0,,,,,,,,,,,,Male
Abhimanyu Mithun,119.0,4.0,5.0,24.0,48.19,46,16,-,-,-,120.0,150.0,5.0,3.0,17.0,92.72,24.0,2,4,-,-,51.0,,,,,,,,,,,,Male
Abhinav Mukund,94.0,7.0,14.0,22.85,45.71,81,32,1,2,-,320.0,,,,,,,,,,,,,,,,,,,,,,,Male
Abhishek Sharma,,,,,,,,,,,,,,,,,,,,,,,9.0,50.0,49.0,33.8,192.83,135.0,160,103,11,2,1589.0,Male
Ajay Jadeja,74.0,15.0,24.0,26.18,39.37,96,62,3,4,-,576.0,12.0,196.0,179.0,37.47,69.79,119.0,366,85,30,6,5359.0,,,,,,,,,,,,Male
Ajay Ratra,110.0,6.0,10.0,18.11,30.58,115,14,-,-,1,163.0,127.0,12.0,8.0,12.85,70.86,30.0,8,-,-,-,90.0,,,,,,,,,,,,Male
Ajay Sharma,145.0,1.0,2.0,26.5,31.36,30,8,-,-,-,53.0,67.0,31.0,27.0,20.19,90.4,59.0,26,9,3,-,424.0,,,,,,,,,,,,Male
Ajinkya Rahane,13.0,85.0,144.0,38.46,49.5,188,578,35,26,12,5077.0,23.0,90.0,87.0,35.26,78.63,111.0,293,33,24,3,2962.0,27.0,20.0,20.0,20.83,113.29,61.0,32,6,1,-,375.0,Male
Ajit Agarkar,75.0,26.0,39.0,16.79,52.82,109,83,3,-,1,571.0,37.0,191.0,113.0,14.58,80.62,95.0,103,22,3,-,1269.0,64.0,4.0,2.0,7.5,136.36,14.0,2,-,-,-,15.0,Male
Ajit Wadekar,32.0,37.0,71.0,31.07,87.21,143,217,2,14,1,2113.0,137.0,2.0,2.0,36.5,81.11,67.0,11,-,1,-,73.0,,,,,,,,,,,,Male
Akash Deep,109.0,10.0,15.0,11.64,53.79,66,20,6,1,-,163.0,,,,,,,,,,,,,,,,,,,,,,,Male
