Rank,Player,Matches,Innings,Average,Strike Rate,Highest Score,Fours,Sixes,Fifties,Hundreds,Runs
1,Smriti Mandhana,171,165,30.25,125.18,112,614,88,35,1,4538
2,Harmanpreet Kaur,202,181,30.33,-,103,-,-,18,1,4216
3,Shafali Verma,111,110,27.89,136.38,81,376,82,18,-,2901
4,Jemimah Rodrigues,131,118,29.41,119,76,319,28,16,-,2824
5,Mithali Raj,89,84,37.52,97.45,97,240,13,17,-,2364
6,Richa Ghosh,88,74,27.20,144.57,64,154,46,2,-,1333
7,Deepti Sharma,149,96,22.67,107.26,64,115,8,2,-,1270
8,Veda Krishnamurthy,76,63,18.61,104.55,57,82,11,2,-,875
9,Punam Raut,35,31,27.65,92.17,75,81,-,4,-,719
10,Jhulan Goswami,68,46,10.94,-,37,-,-,-,-,405
11,Anuja Patil,50,35,17.54,108.73,54,43,1,1,-,386
12,Sulakshana Naik,31,28,14.76,-,59,-,-,1,-,384
13,Amita Sharma,41,34,14.73,-,55,-,-,1,-,383
14,Yastika Bhatia,26,20,19.68,100.8,54,51,3,1,-,374
15,Pooja Vastrakar,72,43,13.83,114.48,37,34,5,-,-,332
16,Harleen Deol,28,20,17.27,92.01,52,37,1,1,-,311
17,Dayalan Hemalatha,23,21,16.23,111.74,47,28,8,-,-,276
18,Sabbhineni Meghana,17,16,18.42,102.78,69,38,3,1,-,258
19,Anjum Chopra,18,16,17.21,-,37,-,-,-,-,241
20,Vellaswamy Vanitha,16,15,14.40,109.09,41,30,3,-,-,216
21,Shikha Pandey,62,28,13.00,79.08,26,15,2,-,-,208
22,Amanjot Kaur,23,14,23.62,127.7,63,25,1,1,-,189
23,Taniya Bhatia,53,23,9.05,91,46,17,1,-,-,172
24,Arundhati Reddy,54,24,8.76,94.3,27,15,1,-,-,149
25,Rumeli Dhar,18,11,18.71,88.51,66,10,-,1,-,131
26,Mona Meshram,11,9,17.85,78.61,32,8,-,-,-,125
27,Reema Malhotra,22,14,19.16,72.32,32,7,-,-,-,115
28,Priyanka Roy,15,10,10.55,87.15,22,8,-,-,-,95
29,Radha Yadav,91,26,5.47,95.87,14,5,1,-,-,93
30,Devika Vaidya,17,8,22.50,98.9,32,7,1,-,-,90
31,Sneh Rana,31,15,14.00,100,16,8,-,-,-,84
32,Bharti Fulmali,7,6,12.16,93.58,40,7,2,-,-,73
33,Anushka Sharma,3,3,24.00,102.85,28,9,-,-,-,72
34,Anagha Deshpande,8,7,11.50,61.6,28,5,-,-,-,69
35,Soniya Dabir,13,9,11.33,103.03,23,5,-,-,-,68
36,Thirush Kamini,3,2,33.50,97.10,56,7,1,1,-,67
37,Latika Kumari,6,6,10.16,63.54,36,7,-,-,-,61
38,Niranjana Nagarajan,14,8,7.00,110.52,15,5,-,-,-,42
39,Sajeevan Sajana,14,8,10.25,110.81,11,6,-,-,-,41
40,Ekta Bisht,42,14,5.00,66.66,15,2,1,-,-,40
41,Uma Chetry,7,4,9.25,90.24,24,5,-,-,-,37
42,Raghvi Anand Singh Bist,2,2,36.00,120,31,2,1,-,-,36
43,Sushma Verma,19,6,10.33,81.57,12,3,-,-,-,31
44,Shreyanka Patil,24,9,4.50,75,7,3,-,-,-,27
45,Shubhlakshmi Sharma,18,8,3.57,83.33,10,3,1,-,-,25
46,Madhuri Mehta,3,2,11.50,62.16,23,3,-,-,-,23
47,Neha Tanwar,2,2,9.50,46.34,17,1,-,-,-,19
48,Kranti Gaud,14,4,8.50,130.76,12,2,1,-,-,17
49,Kiran Prabhu Navgire,6,4,5.66,89.47,10,2,-,-,-,17
50,Kanika Ahuja,3,2,16.00,114.28,15,1,-,-,-,16
51,Diana David,13,7,3.00,65.21,7,-,-,-,-,15
52,Poonam Yadav,72,11,2.80,60.86,4,-,-,-,-,14
53,Swagatika Rath,2,2,7.00,70,9,1,-,-,-,14
54,Renuka Thakur,65,9,4.33,86.66,4,1,-,-,-,13
55,Rajeshwari Gayakwad,58,9,12.00,57.14,5,1,-,-,-,12
56,Gunalan Kamalini,1,1,12.00,100,12,2,-,-,-,12
57,Sravanthi Naidu,6,2,11.00,39.28,11,-,-,-,-,11
58,Simran Bahadur,6,1,10.00,166.66,10,2,-,-,-,10
59,Mamatha Kanojia,4,3,3.33,-,6,-,-,-,-,10
60,Kashvee Gautam,3,1,10.00,125,10,-,1,-,-,10
61,Shree Charani,25,4,4.50,128.57,7,-,1,-,-,9
62,Karu Jain,9,3,4.50,42.85,8,-,-,-,-,9
63,Priya Punia,3,3,3.00,52.94,4,1,-,-,-,9
64,Archana Das,23,10,2.66,44.44,2,-,-,-,-,8
